h,v,a,deployment,rho,t_since_burnout,mass_dry,A_ref,Cd_total,target_apogee,flight_id,total_impulse,launch_altitude
919.8824226994842,8.682803746875742,-9.231950493676473,0.5,1.1204892608472135,5.06094412090811,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
771.2543653326994,58.24515956605325,-13.330254358310105,0.5,1.136724584376838,0.5109441209081105,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
867.5311738443174,34.733050177071824,-10.949347609065674,0.5,1.1262959139518067,2.5609441209081103,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
810.6804441551599,48.6584798787243,-11.90979316593125,0.5,1.1322562905498341,1.2609441209081105,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
908.014611536748,18.218175561242287,-10.310964399803098,0.5,1.1218661403874315,4.110944120908111,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
907.8771238374793,17.499805433659695,-10.028775138747323,0.5,1.1217688725605455,4.160944120908111,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
764.8867975661933,60.59297406070847,-13.11123714137469,0.5,1.1377159371867402,0.36094412090811057,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
851.8858477593049,38.739134952621555,-11.033554534795242,0.5,1.1279012039677814,2.160944120908111,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
914.251456687453,10.285841160179682,-10.050915345460162,0.5,1.120697013376031,4.860944120908111,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
890.1887183566789,24.983223279799212,-9.955902243143663,0.5,1.1235230763879676,3.410944120908111,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
862.8454658539874,35.19935121518396,-11.455967895479644,0.5,1.126485838441239,2.5109441209081105,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
918.798217362906,8.055245035122955,-9.690911647380595,0.5,1.1204441119316777,5.110944120908111,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
779.2745925778485,57.59670753456343,-13.044702076226148,0.5,1.1360822437937874,0.6109441209081101,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
840.8244197622662,41.85598723065908,-11.497428729999093,0.5,1.1290057955819726,1.9109441209081108,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
909.6410557883765,13.86062103212085,-10.279292058933532,0.5,1.1212434896108308,4.460944120908111,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
863.8219850390243,35.33488759514615,-10.780609366779721,0.5,1.1266788074247749,2.4609441209081107,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
854.6996646718427,37.55565759202197,-10.953892258515857,0.5,1.1274813575733882,2.2609441209081105,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
878.4820455612291,30.084981526541707,-10.850569821011499,0.5,1.1248848349747362,2.9609441209081107,1.7962860626691115,0.0035757937597341474,0.846881347872869,922.69926918474,0,202.2279403980706,628.851444221563
